-- SG    KRG    KROG   PCOG
SGOF
0.22857143 0.05399492 0.63690725 0.03556554
0.23775510 0.05988220 0.62348640 0.03581892
0.24693878 0.06596915 0.61016116 0.03607779
0.25612245 0.07224940 0.59693223 0.03634236
0.26530612 0.07871720 0.58380031 0.03661283
0.27448980 0.08536725 0.57076613 0.03688944
0.28367347 0.09219468 0.55783041 0.03717241
0.29285714 0.09919501 0.54499393 0.03746199
0.30204082 0.10636406 0.53225745 0.03775845
0.31122449 0.11369795 0.51962175 0.03806206
0.32040816 0.12119306 0.50708767 0.03837312
0.32959184 0.12884599 0.49465601 0.03869192
0.33877551 0.13665355 0.48232764 0.03901881
0.34795918 0.14461273 0.47010343 0.03935413
0.35714286 0.15272071 0.45798427 0.03969824
0.36632653 0.16097480 0.44597108 0.04005154
0.37551020 0.16937245 0.43406480 0.04041444
0.38469388 0.17791126 0.42226641 0.04078739
0.39387755 0.18658892 0.41057690 0.04117086
0.40306122 0.19540326 0.39899728 0.04156535
0.41224490 0.20435217 0.38752863 0.04197140
0.42142857 0.21343368 0.37617201 0.04238959
0.43061224 0.22264587 0.36492855 0.04282054
0.43979592 0.23198691 0.35379940 0.04326490
0.44897959 0.24145504 0.34278574 0.04372339
0.45816327 0.25104860 0.33188879 0.04419677
0.46734694 0.26076594 0.32110983 0.04468587
0.47653061 0.27060553 0.31045015 0.04519157
0.48571429 0.28056586 0.29991111 0.04571484
0.49489796 0.29064548 0.28949410 0.04625672
0.50408163 0.30084299 0.27920058 0.04681834
0.51326531 0.31115706 0.26903203 0.04740092
0.52244898 0.32158637 0.25899002 0.04800580
0.53163265 0.33212967 0.24907616 0.04863445
0.54081633 0.34278574 0.23929212 0.04928846
0.55000000 0.35355339 0.22963966 0.04996959
0.55918367 0.36443149 0.22012060 0.05067976
0.56836735 0.37541892 0.21073682 0.05142109
0.57755102 0.38651460 0.20149032 0.05219594
0.58673469 0.39771749 0.19238315 0.05300690
0.59591837 0.40902658 0.18341748 0.05385688
0.60510204 0.42044086 0.17459559 0.05474910
0.61428571 0.43195940 0.16591985 0.05568719
0.62346939 0.44358124 0.15739277 0.05667521
0.63265306 0.45530548 0.14901700 0.05771776
0.64183673 0.46713123 0.14079530 0.05882005
0.65102041 0.47905763 0.13273063 0.05998800
0.66020408 0.49108384 0.12482611 0.06122840
0.66938776 0.50320902 0.11708504 0.06254908
0.67857143 0.51543240 0.10951096 0.06395908
0.68775510 0.52775317 0.10210764 0.06546895
0.69693878 0.54017057 0.09487910 0.06709105
0.70612245 0.55268387 0.08782967 0.06884002
0.71530612 0.56529233 0.08096404 0.07073332
0.72448980 0.57799523 0.07428726 0.07279194
0.73367347 0.59079189 0.06780483 0.07504145
0.74285714 0.60368161 0.06152276 0.07751329
0.75204082 0.61666374 0.05544765 0.08024667
0.76122449 0.62973761 0.04958683 0.08329123
0.77040816 0.64290259 0.04394842 0.08671089
0.77959184 0.65615806 0.03854158 0.09058958
0.78877551 0.66950339 0.03337668 0.09504013
0.79795918 0.68293799 0.02846564 0.10021847
0.80714286 0.69646128 0.02382233 0.10634735
0.81632653 0.71007266 0.01946318 0.11375840
0.82551020 0.72377158 0.01540809 0.12297169
0.83469388 0.73755747 0.01168184 0.13486035
0.84387755 0.75142980 0.00831652 0.15103380
0.85306122 0.76538803 0.00535603 0.17489355
0.86224490 0.77943163 0.00286590 0.21542749
0.87142857 0.79356009 0.00096129 0.31005307
0.88061224 0.80777289 0.00000000 300.00000000
0.88979592 0.82206955 0.00000000 300.00000000
0.89897959 0.83644958 0.00000000 300.00000000
0.90816327 0.85091248 0.00000000 300.00000000
0.91734694 0.86545780 0.00000000 300.00000000
0.92653061 0.88008506 0.00000000 300.00000000
0.93571429 0.89479382 0.00000000 300.00000000
0.94489796 0.90958361 0.00000000 300.00000000
0.95408163 0.92445401 0.00000000 300.00000000
0.96326531 0.93940457 0.00000000 300.00000000
0.97244898 0.95443486 0.00000000 300.00000000
0.98163265 0.96954448 0.00000000 300.00000000
0.99081633 0.98473299 0.00000000 300.00000000
1.00000000 1.00000000 0.00000000 300.00000000
/
0.00000000 0.00000000 1.00000000 0.02560180
0.10000000 0.00000000 0.83805248 0.02715481
0.10918367 0.00103077 0.82366323 0.02731202
0.11836735 0.00291545 0.80935728 0.02747200
0.12755102 0.00535603 0.79513513 0.02763483
0.13673469 0.00824614 0.78099728 0.02780059
